fix             log_frcs all print ${tsamp} "${fxh} ${fyh} ${fzh} ${fxt} ${fyt} ${fzt} ${xh} ${xt}" file ${folder}/lmp${L}.forces screen no
fix             log_frcs all print 10 "${fxh} ${fyh} ${fzh} ${fxt} ${fyt} ${fzt} ${xh} ${xt}" file ${folder}/lmp${L}.forces screen no
fix             log_frcs all print 10 "${fxh} ${fyh} ${fzh} ${fxt} ${fyt} ${fzt} ${xh} ${xt}" file L170_T300_Ns100000_Neq25000_Nrun1000000_ts10_td1000/lmp${L}.forces screen no
fix             log_frcs all print 10 "${fxh} ${fyh} ${fzh} ${fxt} ${fyt} ${fzt} ${xh} ${xt}" file L170_T300_Ns100000_Neq25000_Nrun1000000_ts10_td1000/lmp170.forces screen no
run             ${Nrun}
run             1000000
Per MPI rank memory allocation (min/avg/max) = 18.15 | 18.39 | 18.62 Mbytes
Step Temp PotEng 
  126680    283.54126   0.98437541 
  126690    278.02017    1.0537718 
  126700    289.20595  -0.10116481 
  126710    293.02335  -0.19845295 
  126720    279.59954   0.23408956 
  126730     279.6616   0.17527037 
  126740    285.65437 -0.095686833 
  126750    287.56186 -0.019557566 
  126760    284.15159   0.16605581 
  126770    284.55166   0.55301246 
  126780    288.66395  -0.62907412 
  126790    295.07642   -1.1698379 
  126800    290.17218  -0.92757782 
  126810    285.83513   0.13007602 
  126820    287.56982   0.53029455 
  126830    295.02039 -0.024665334 
  126840    298.33347    0.1682182 
  126850    303.31381  -0.17206495 
  126860    290.20606   0.99936928 
  126870    290.85124   0.87805228 
  126880    298.51639   0.20868723 
  126890     310.3192  -0.56526599 
  126900    295.69941   0.22114046 
  126910    306.76506   0.18983999 
  126920    290.89546    1.5309873 
  126930    318.53652   -1.0132605 
  126940    300.55297   0.61737549 
  126950    299.68142   0.69271392 
  126960    301.08318    1.0865156 
  126970    290.58618     2.260109 
  126980    300.88303    1.6460801 
  126990    307.48752    1.0021297 
  127000    311.11722   0.58328813 
  127010    296.15276    2.2518586 
  127020    319.36138   0.29472079 
  127030    310.02666    1.5456625 
  127040    309.63901    1.2206869 
  127050    300.07443    1.8634626 
  127060    299.34018    2.1064094 
  127070    320.17405   0.65819799 
  127080    306.60379    1.5416913 
  127090    298.77628    2.5831498 
  127100    297.63514    2.4797088 
  127110    310.50317   0.82607276 
  127120    303.16451    1.3851252 
  127130    303.40456   0.83139044 
  127140    303.47235    0.4367508 
  127150    316.12768   -1.0558689 
  127160    302.01226     0.197325 
  127170    292.04606   0.44464322 
  127180    290.03886   0.63009939 
  127190    297.60859  -0.10356639 
  127200    296.91268  -0.21803619 
  127210    297.64119  -0.64895668 
  127220    291.77197 -0.0070619316 
  127230    298.88939  -0.89018665 
  127240    287.88623   0.14171423 
  127250    297.03205  -0.91122099 
  127260    283.62783   0.72451924 
  127270    288.70357   0.17836114 
  127280    288.54203 -0.074448028 
  127290    289.58432  -0.67899674 
  127300    289.37295  -0.96731946 
  127310    286.00886  -0.73849951 
  127320    287.87801   -0.7289745 
  127330     282.0241  -0.34930675 
  127340    290.69632   -1.1596304 
  127350    293.81208   -1.2167601 
  127360    292.86155  -0.99165562 
  127370    282.46424   0.31714321 
  127380    282.30808  0.060433964 
  127390    294.66665  -0.46867539 
  127400    290.69732  -0.68513969 
  127410    286.96511  0.075295543 
  127420    294.34695  0.071469984 
  127430    295.20863  -0.43463744 
  127440    300.16763  -0.34184999 
  127450    291.45335   0.55689989 
  127460    291.45836   0.82929459 
  127470    294.81465   0.38519142 
  127480    284.74122    1.3112026 
  127490    289.54479   0.75767154 
  127500    298.68393   0.24376918 
  127510      290.795   0.93253022 
  127520    301.30399   0.19675622 
  127530    288.88177    1.8965417 
  127540    311.40148   0.28075621 
  127550    297.86946    1.0794168 
  127560    311.16529   0.80098772 
  127570    294.32525    2.0735385 
  127580    308.27927    0.3542207 
  127590    306.38944   0.54366415 
  127600    298.44954     1.554994 
  127610    309.01195   0.70061555 
  127620    303.23366    1.7082005 
  127630    310.95431        0.579 
  127640    303.40884   0.91253718 
  127650    305.40709    1.1565379 
  127660     293.7372    2.0855963 
  127670    292.27512    1.9407394 
  127680     308.7302   0.97296516 
  127690    298.96304    1.6987132 
  127700    296.51557    2.2700614 
  127710    305.22552    1.7247651 
  127720    312.82328   0.69340659 
  127730    306.23742    1.0911992 
  127740    308.52796   0.94062537 
  127750    303.20628    1.3271709 
  127760     298.6441    1.2210914 
  127770     305.8269   0.88244273 
  127780    291.45082    1.7842526 
  127790    308.12791   0.38334793 
  127800    295.96181    1.7928403 
  127810    298.71628   0.99880517 
  127820    287.88704    1.8215208 
  127830    303.41718   0.23311522 
  127840    298.08901   0.41388936 
  127850    302.89923   0.15505533 
  127860    292.23612   0.48404294 
  127870     292.8929   0.78298783 
  127880    296.20235   0.11013055 
  127890    308.52901   -1.5949083 
  127900    293.39296  0.064097388 
  127910    292.04036   0.51021855 
  127920    290.77576   0.26428953 
  127930    287.17612   0.45346528 
  127940    293.28979   -0.3746174 
  127950    295.92301   -0.8987316 
  127960    272.10562   0.62711697 
  127970    286.06402  -0.27553607 
  127980    286.25563  -0.46787408 
  127990    287.30036  -0.71737176 
  128000    289.00451  -0.58938636 
  128010    283.16551  -0.22273844 
  128020    286.86936  -0.52136891 
  128030     283.9722   0.07763521 
  128040    294.05491   -1.0301496 
  128050    295.19419  -0.56630488 
  128060    296.50142  -0.51096871 
  128070    290.24991   0.38161553 
  128080    301.65994  -0.69699201 
  128090    293.91345   0.14803913 
  128100    294.71101   0.73203007 
  128110    297.93711   0.31313739 
  128120    312.98662  -0.35616868 
  128130     297.8205    1.3222927 
  128140    305.92631   0.55262199 
  128150    300.27718    1.3551305 
  128160    305.25665   0.94694322 
  128170    293.22749    2.2048616 
  128180    300.27227    1.5637459 
  128190    295.87564    2.0482804 
  128200    304.73041   0.98924608 
  128210    309.21868    0.6535492 
