fix             log_frcs all print ${tsamp} "${fxh} ${fyh} ${fzh} ${fxt} ${fyt} ${fzt} ${xh} ${xt}" file ${folder}/lmp${L}.forces screen no
fix             log_frcs all print 10 "${fxh} ${fyh} ${fzh} ${fxt} ${fyt} ${fzt} ${xh} ${xt}" file ${folder}/lmp${L}.forces screen no
fix             log_frcs all print 10 "${fxh} ${fyh} ${fzh} ${fxt} ${fyt} ${fzt} ${xh} ${xt}" file L190_T300_Ns100000_Neq25000_Nrun1000000_ts10_td1000/lmp${L}.forces screen no
fix             log_frcs all print 10 "${fxh} ${fyh} ${fzh} ${fxt} ${fyt} ${fzt} ${xh} ${xt}" file L190_T300_Ns100000_Neq25000_Nrun1000000_ts10_td1000/lmp190.forces screen no
run             ${Nrun}
run             1000000
Per MPI rank memory allocation (min/avg/max) = 18.61 | 18.62 | 18.62 Mbytes
Step Temp PotEng 
  125000    312.14658   0.35791216 
  125010    302.42964    1.6627062 
  125020    305.84123    1.1224684 
  125030    311.29467    1.2396316 
  125040    306.88728     1.350048 
  125050     315.3739    1.0794911 
  125060    310.54768    1.4165574 
  125070    303.15569    2.2516608 
  125080    308.51558    1.9862524 
  125090    313.90906    1.8390216 
  125100    305.78127    2.6892219 
  125110    322.71725    1.4854309 
  125120    310.00789    2.7305111 
  125130     310.8341    2.5937379 
  125140    325.19054     1.702508 
  125150    314.81789    2.9172639 
  125160    310.65585    3.4941805 
  125170    317.11997    2.6348788 
  125180    315.91727    2.4973644 
  125190    317.06768    2.9735161 
  125200    321.39332    2.6263866 
  125210    327.62698    2.2780746 
  125220    312.47258    3.1399056 
  125230    308.10812    3.3293085 
  125240     305.8868    3.3890536 
  125250    313.72616    2.2109603 
  125260    317.36145    2.0848979 
  125270    311.67117    1.8674199 
  125280    312.66962    1.6738493 
  125290    306.88545    1.8658235 
  125300    293.31455    2.6003793 
  125310    293.73336    2.5654083 
  125320    304.21282   0.81918227 
  125330    306.16244   0.70709904 
  125340    295.79449    1.9077865 
  125350    294.38719    2.0353891 
  125360    292.86587     1.988195 
  125370     301.0414    1.0085228 
  125380     294.7585    1.4828691 
  125390     301.2081   0.67471303 
  125400    295.31731     1.492185 
  125410     290.3959    1.6837824 
  125420    298.06973    1.1155796 
  125430    297.39378   0.91499514 
  125440    297.53378    1.0585962 
  125450    288.99815    1.8044885 
  125460    279.96341    2.3156346 
  125470    295.30492    1.2393146 
  125480    304.49529   0.37409919 
  125490    297.06898    1.0166421 
  125500    294.38046    1.8361867 
  125510    283.14388    2.4960713 
  125520    294.68492    1.4526433 
  125530    304.57768    0.5386564 
  125540    307.72633   0.45934228 
  125550    303.94498   0.89038238 
  125560    301.89449    1.3017238 
  125570    297.08611    1.7852315 
  125580    289.50975    2.3012114 
  125590    307.20521    0.9620008 
  125600    304.46661   0.96264637 
  125610    319.18592   0.40279257 
  125620    306.46065    1.5571685 
  125630     297.7357      2.12328 
  125640    302.14424    1.9690246 
  125650    308.84728     2.046928 
  125660    311.13667    1.9791139 
  125670     306.1794    2.2389255 
  125680    308.64959    2.8219446 
  125690    304.83569    2.7559382 
  125700    309.31713    2.0983244 
  125710    308.80795    2.2344939 
  125720    313.96927    1.7253545 
  125730    317.68753    1.6172931 
  125740    309.16325    2.1114192 
  125750    308.75653    2.0653536 
  125760    316.35714    1.9291212 
  125770    319.43395    1.4058344 
  125780    305.47256    2.6348186 
  125790    302.77634     3.011541 
  125800     299.9054    3.1311716 
  125810    309.43245    2.0962646 
  125820    314.74772    1.0781233 
  125830    305.45711    1.6360196 
  125840    305.97993    1.1036893 
  125850    293.01919    1.6280445 
  125860    301.02368    1.4095589 
  125870     306.9916   0.12146232 
  125880    297.96604    1.1339881 
  125890    292.10562    1.2343483 
  125900    291.77237   0.91972493 
  125910     292.9176   0.83070089 
  125920    285.28017   0.81723926 
  125930    297.45394  0.058210657 
  125940    280.13055    1.2148094 
  125950    292.16766  -0.07383554 
  125960    293.21082  -0.12728293 
  125970     287.6747   0.11483174 
  125980    295.53901   -0.3836129 
  125990    286.83929  0.058837577 
  126000     296.7225  -0.31782053 
  126010    279.74141    1.7841036 
  126020    289.94663   0.67290181 
  126030    281.25238    1.5959244 
  126040    295.83996   0.38785893 
  126050    285.22998    1.2243318 
  126060    291.93616   0.62931158 
  126070    302.51072  -0.23167783 
  126080    300.30929   0.86914226 
  126090    309.92971 -0.058664534 
  126100    302.54089    1.3511969 
  126110    299.97441    1.5907736 
  126120    304.42384    1.3109282 
  126130      301.675    1.6263756 
  126140    312.07401   0.68444683 
  126150     291.0111    2.6429627 
  126160    301.72233    1.8989347 
  126170    300.64981    2.1836045 
  126180    310.07309    1.5418668 
  126190    295.96712    2.0789346 
  126200    301.90616    1.8292345 
  126210    309.03488   0.99298044 
  126220    301.91361     1.657189 
  126230    307.96741    1.7315641 
  126240    307.27609     2.031107 
  126250    300.44695    2.2997051 
  126260    291.65389    2.9027924 
  126270    305.79936    2.0826277 
  126280    305.98274    1.7035063 
  126290    301.13111    1.6045378 
  126300    305.41162    1.5048549 
  126310    296.59546    1.9038902 
  126320    305.66299    1.3661612 
