fix             log_frcs all print ${tsamp} "${fxh} ${fyh} ${fzh} ${fxt} ${fyt} ${fzt} ${xh} ${xt}" file ${folder}/lmp${L}.forces screen no
fix             log_frcs all print 10 "${fxh} ${fyh} ${fzh} ${fxt} ${fyt} ${fzt} ${xh} ${xt}" file ${folder}/lmp${L}.forces screen no
fix             log_frcs all print 10 "${fxh} ${fyh} ${fzh} ${fxt} ${fyt} ${fzt} ${xh} ${xt}" file L140_T300_Ns100000_Neq25000_Nrun1000000_ts10_td1000/lmp${L}.forces screen no
fix             log_frcs all print 10 "${fxh} ${fyh} ${fzh} ${fxt} ${fyt} ${fzt} ${xh} ${xt}" file L140_T300_Ns100000_Neq25000_Nrun1000000_ts10_td1000/lmp140.forces screen no
run             ${Nrun}
run             1000000
Per MPI rank memory allocation (min/avg/max) = 18.61 | 18.62 | 18.62 Mbytes
Step Temp PotEng 
  125000    302.89712   0.58397049 
  125010    312.14538   0.45367069 
  125020    297.87433    1.7199644 
  125030    294.60037     2.216805 
  125040     292.9996    2.8828104 
  125050    308.67661     1.504143 
  125060    314.20873      1.28065 
  125070    306.02624    1.7577255 
  125080     317.6029   0.52907761 
  125090     310.4509    1.1562536 
  125100    308.46446    1.1213631 
  125110     319.3819 -0.096591333 
  125120    314.48246    0.8352375 
  125130    310.68231    1.0614508 
  125140    301.74851    1.1626659 
  125150    314.94386 -0.087663373 
  125160    297.33656    1.3415186 
  125170    309.03056   0.36590879 
  125180     302.7043   0.98988053 
  125190    290.03359    1.3767351 
  125200    296.13499  0.052216043 
  125210    305.37161   -0.9089287 
  125220     297.5915  0.043970902 
  125230    284.36916   0.59701053 
  125240    281.93271   0.60849883 
  125250    281.52597   0.56785555 
  125260    301.99895   -1.3584708 
  125270    297.96247  -0.78842516 
  125280    286.35297 -0.061319378 
  125290    293.86919  -0.71786773 
  125300    296.24825   -1.5212249 
  125310    289.12592  -0.22646118 
  125320    295.15481  -0.43341535 
  125330    293.02507  -0.60250888 
  125340    288.72205  -0.12074057 
  125350    287.39337  0.027984762 
  125360    290.58498  -0.21023221 
  125370    291.25874  -0.68534411 
  125380    294.84198  -0.90647477 
  125390    285.64874   0.38480832 
  125400    273.85835    1.4685646 
  125410    300.67537  -0.54452484 
  125420    295.07952  -0.59758545 
  125430    294.23519   -0.3971351 
  125440    285.98474   0.91079986 
  125450    280.98425    1.6892405 
  125460    292.63189   0.76047454 
  125470    304.34548  -0.14228671 
  125480    303.80842    0.1771095 
  125490    291.27419    1.3809193 
  125500    298.44224    1.1113017 
  125510    316.43968  -0.65872401 
  125520    314.78679  -0.30329129 
  125530    307.17845   0.77583529 
  125540    286.60065    2.6945169 
  125550    303.64309   0.77149675 
  125560    313.35773   0.36334018 
  125570    304.83245    0.8619597 
  125580       300.79    1.3325649 
  125590    309.50804   0.28829481 
  125600    310.47575  -0.23249331 
  125610    298.66441    1.0808894 
  125620    307.68624   0.39384523 
  125630    301.29928   0.62392899 
  125640    312.29087 -0.0061608889 
  125650    287.79156    2.1769559 
  125660    305.09956      1.07826 
  125670    287.92899    2.3057641 
  125680    291.37199    2.0493389 
  125690    302.80823   0.61651929 
  125700     311.8519   0.25349467 
  125710     298.7057      1.08638 
  125720    304.03766    1.0339753 
  125730    296.22736     1.531023 
  125740     315.1465  -0.39950985 
  125750    310.04672   0.18046447 
  125760    298.64045    1.4059094 
  125770    294.64711    1.2496066 
  125780     296.6724    1.4014089 
  125790    298.31322    1.4160414 
  125800    293.42777    2.0408328 
  125810    296.27478    1.5520605 
  125820    301.33096   0.73427428 
  125830    297.56656   0.53356773 
  125840    293.83308   0.88439782 
  125850    278.83438    1.8627352 
  125860    307.77523  -0.78011705 
  125870    291.97624   0.87416745 
  125880    289.73201   0.56320204 
  125890    279.75958    1.1570871 
  125900    284.20166   0.56156302 
  125910    292.98885   0.56570209 
  125920    289.27037   0.51423401 
  125930    280.16844    1.1213949 
  125940    276.09105    1.9047571 
  125950    287.80288    0.5730048 
  125960    287.58169   0.11972258 
  125970    298.17647  -0.43032606 
  125980    282.60944   0.69585652 
  125990    279.06761    1.3109656 
  126000    285.52729    1.4819305 
  126010     298.4593 -0.077360642 
  126020    305.09711  -0.96527806 
  126030    294.40643    1.0570917 
  126040    296.79985    1.3271635 
  126050    296.34412    1.2202955 
  126060    288.13587    2.4938542 
  126070    303.32196   0.82204022 
  126080    306.90986    1.3081906 
  126090    307.96771   0.25473864 
  126100    293.13476    2.1529172 
  126110    302.75246    1.5913772 
  126120    306.45646   0.82003727 
  126130    312.06552   0.69830858 
  126140    315.46438   0.86439451 
  126150    303.48319    1.4880946 
  126160    300.57355    1.9985229 
  126170    306.14089    1.9793328 
  126180    313.96709    1.0499849 
  126190    299.79465    2.0270481 
  126200    301.85974    1.9938629 
  126210    301.27589    1.8429047 
  126220    311.08923    0.4912433 
